trip_id,arrival_time,departure_time,stop_id,stop_sequence
6507770-Saturday,08:15:00,08:15:00,70012,1
6507770-Saturday,08:20:00,08:20:00,70022,2
6507770-Saturday,08:25:00,08:25:00,70032,3
6507770-Saturday,08:31:00,08:31:00,70042,4
6507770-Saturday,08:35:00,08:35:00,70052,5
6507770-Saturday,08:39:00,08:39:00,70062,6
6507770-Saturday,08:43:00,08:43:00,70072,7
6507770-Saturday,08:45:00,08:45:00,70082,8
6507770-Saturday,08:51:00,08:51:00,70092,9
6507770-Saturday,08:54:00,08:54:00,70102,10
6507770-Saturday,08:57:00,08:57:00,70112,11
6507770-Saturday,09:00:00,09:00:00,70122,12
6507770-Saturday,09:03:00,09:03:00,70132,13
6507770-Saturday,09:09:00,09:09:00,70142,14
6507770-Saturday,09:13:00,09:13:00,70152,15
6507770-Saturday,09:16:00,09:16:00,70162,16
6507770-Saturday,09:19:00,09:19:00,70172,17
6507770-Saturday,09:23:00,09:23:00,70192,18
6507770-Saturday,09:27:00,09:27:00,70202,19
6507770-Saturday,09:31:00,09:31:00,70212,20
6507770-Saturday,09:36:00,09:36:00,70222,21
6507770-Saturday,09:40:00,09:40:00,70232,22
6507770-Saturday,09:45:00,09:45:00,70242,23
6507770-Saturday,09:53:00,09:53:00,70262,24
6507771-Saturday,09:15:00,09:15:00,70012,1
6507771-Saturday,09:20:00,09:20:00,70022,2
6507771-Saturday,09:25:00,09:25:00,70032,3
6507771-Saturday,09:31:00,09:31:00,70042,4
6507771-Saturday,09:35:00,09:35:00,70052,5
6507771-Saturday,09:39:00,09:39:00,70062,6
6507771-Saturday,09:43:00,09:43:00,70072,7
6507771-Saturday,09:45:00,09:45:00,70082,8
6507771-Saturday,09:51:00,09:51:00,70092,9
6507771-Saturday,09:54:00,09:54:00,70102,10
6507771-Saturday,09:57:00,09:57:00,70112,11
6507771-Saturday,10:00:00,10:00:00,70122,12
6507771-Saturday,10:03:00,10:03:00,70132,13
6507771-Saturday,10:09:00,10:09:00,70142,14
6507771-Saturday,10:13:00,10:13:00,70152,15
6507771-Saturday,10:16:00,10:16:00,70162,16
6507771-Saturday,10:19:00,10:19:00,70172,17
6507771-Saturday,10:23:00,10:23:00,70192,18
6507771-Saturday,10:27:00,10:27:00,70202,19
6507771-Saturday,10:31:00,10:31:00,70212,20
6507771-Saturday,10:36:00,10:36:00,70222,21
6507771-Saturday,10:40:00,10:40:00,70232,22
6507771-Saturday,10:45:00,10:45:00,70242,23
6507771-Saturday,10:53:00,10:53:00,70262,24
6507772-Saturday,10:15:00,10:15:00,70012,1
6507772-Saturday,10:20:00,10:20:00,70022,2
6507772-Saturday,10:25:00,10:25:00,70032,3
6507772-Saturday,10:31:00,10:31:00,70042,4
6507772-Saturday,10:35:00,10:35:00,70052,5
6507772-Saturday,10:39:00,10:39:00,70062,6
6507772-Saturday,10:43:00,10:43:00,70072,7
6507772-Saturday,10:45:00,10:45:00,70082,8
6507772-Saturday,10:51:00,10:51:00,70092,9
6507772-Saturday,10:54:00,10:54:00,70102,10
6507772-Saturday,10:57:00,10:57:00,70112,11
6507772-Saturday,11:00:00,11:00:00,70122,12
6507772-Saturday,11:03:00,11:03:00,70132,13
6507772-Saturday,11:09:00,11:09:00,70142,14
6507772-Saturday,11:13:00,11:13:00,70152,15
6507772-Saturday,11:16:00,11:16:00,70162,16
6507772-Saturday,11:19:00,11:19:00,70172,17
6507772-Saturday,11:23:00,11:23:00,70192,18
6507772-Saturday,11:27:00,11:27:00,70202,19
6507772-Saturday,11:31:00,11:31:00,70212,20
6507772-Saturday,11:36:00,11:36:00,70222,21
6507772-Saturday,11:40:00,11:40:00,70232,22
6507772-Saturday,11:45:00,11:45:00,70242,23
6507772-Saturday,11:53:00,11:53:00,70262,24
6507773-Saturday,11:15:00,11:15:00,70012,1
6507773-Saturday,11:20:00,11:20:00,70022,2
6507773-Saturday,11:25:00,11:25:00,70032,3
6507773-Saturday,11:31:00,11:31:00,70042,4
6507773-Saturday,11:35:00,11:35:00,70052,5
6507773-Saturday,11:39:00,11:39:00,70062,6
6507773-Saturday,11:43:00,11:43:00,70072,7
6507773-Saturday,11:45:00,11:45:00,70082,8
6507773-Saturday,11:51:00,11:51:00,70092,9
6507773-Saturday,11:54:00,11:54:00,70102,10
6507773-Saturday,11:57:00,11:57:00,70112,11
6507773-Saturday,12:00:00,12:00:00,70122,12
6507773-Saturday,12:03:00,12:03:00,70132,13
6507773-Saturday,12:09:00,12:09:00,70142,14
6507773-Saturday,12:13:00,12:13:00,70152,15
6507773-Saturday,12:16:00,12:16:00,70162,16
6507773-Saturday,12:19:00,12:19:00,70172,17
6507773-Saturday,12:23:00,12:23:00,70192,18
6507773-Saturday,12:27:00,12:27:00,70202,19
6507773-Saturday,12:31:00,12:31:00,70212,20
6507773-Saturday,12:36:00,12:36:00,70222,21
6507773-Saturday,12:40:00,12:40:00,70232,22
6507773-Saturday,12:45:00,12:45:00,70242,23
6507773-Saturday,12:53:00,12:53:00,70262,24
6507774-Saturday,12:15:00,12:15:00,70012,1
6507774-Saturday,12:20:00,12:20:00,70022,2
6507774-Saturday,12:25:00,12:25:00,70032,3
6507774-Saturday,12:31:00,12:31:00,70042,4
6507774-Saturday,12:35:00,12:35:00,70052,5
6507774-Saturday,12:39:00,12:39:00,70062,6
6507774-Saturday,12:43:00,12:43:00,70072,7
6507774-Saturday,12:45:00,12:45:00,70082,8
6507774-Saturday,12:51:00,12:51:00,70092,9
6507774-Saturday,12:54:00,12:54:00,70102,10
6507774-Saturday,12:57:00,12:57:00,70112,11
6507774-Saturday,13:00:00,13:00:00,70122,12
6507774-Saturday,13:03:00,13:03:00,70132,13
6507774-Saturday,13:09:00,13:09:00,70142,14
6507774-Saturday,13:13:00,13:13:00,70152,15
6507774-Saturday,13:16:00,13:16:00,70162,16
6507774-Saturday,13:19:00,13:19:00,70172,17
6507774-Saturday,13:23:00,13:23:00,70192,18
6507774-Saturday,13:27:00,13:27:00,70202,19
6507774-Saturday,13:31:00,13:31:00,70212,20
6507774-Saturday,13:36:00,13:36:00,70222,21
6507774-Saturday,13:40:00,13:40:00,70232,22
6507774-Saturday,13:45:00,13:45:00,70242,23
6507774-Saturday,13:53:00,13:53:00,70262,24
6507775-Saturday,13:15:00,13:15:00,70012,1
6507775-Saturday,13:20:00,13:20:00,70022,2
6507775-Saturday,13:25:00,13:25:00,70032,3
6507775-Saturday,13:31:00,13:31:00,70042,4
6507775-Saturday,13:35:00,13:35:00,70052,5
6507775-Saturday,13:39:00,13:39:00,70062,6
6507775-Saturday,13:43:00,13:43:00,70072,7
6507775-Saturday,13:45:00,13:45:00,70082,8
6507775-Saturday,13:51:00,13:51:00,70092,9
6507775-Saturday,13:54:00,13:54:00,70102,10
6507775-Saturday,13:57:00,13:57:00,70112,11
6507775-Saturday,14:00:00,14:00:00,70122,12
6507775-Saturday,14:03:00,14:03:00,70132,13
6507775-Saturday,14:09:00,14:09:00,70142,14
6507775-Saturday,14:13:00,14:13:00,70152,15
6507775-Saturday,14:16:00,14:16:00,70162,16
6507775-Saturday,14:19:00,14:19:00,70172,17
6507775-Saturday,14:23:00,14:23:00,70192,18
6507775-Saturday,14:27:00,14:27:00,70202,19
6507775-Saturday,14:31:00,14:31:00,70212,20
6507775-Saturday,14:36:00,14:36:00,70222,21
6507775-Saturday,14:40:00,14:40:00,70232,22
6507775-Saturday,14:45:00,14:45:00,70242,23
6507775-Saturday,14:53:00,14:53:00,70262,24
6507776-Saturday,14:15:00,14:15:00,70012,1
6507776-Saturday,14:20:00,14:20:00,70022,2
6507776-Saturday,14:25:00,14:25:00,70032,3
6507776-Saturday,14:31:00,14:31:00,70042,4
6507776-Saturday,14:35:00,14:35:00,70052,5
6507776-Saturday,14:39:00,14:39:00,70062,6
6507776-Saturday,14:43:00,14:43:00,70072,7
6507776-Saturday,14:45:00,14:45:00,70082,8
6507776-Saturday,14:51:00,14:51:00,70092,9
6507776-Saturday,14:54:00,14:54:00,70102,10
6507776-Saturday,14:57:00,14:57:00,70112,11
6507776-Saturday,15:00:00,15:00:00,70122,12
6507776-Saturday,15:03:00,15:03:00,70132,13
6507776-Saturday,15:09:00,15:09:00,70142,14
6507776-Saturday,15:13:00,15:13:00,70152,15
6507776-Saturday,15:16:00,15:16:00,70162,16
6507776-Saturday,15:19:00,15:19:00,70172,17
6507776-Saturday,15:23:00,15:23:00,70192,18
6507776-Saturday,15:27:00,15:27:00,70202,19
6507776-Saturday,15:31:00,15:31:00,70212,20
6507776-Saturday,15:36:00,15:36:00,70222,21
6507776-Saturday,15:40:00,15:40:00,70232,22
6507776-Saturday,15:45:00,15:45:00,70242,23
6507776-Saturday,15:53:00,15:53:00,70262,24
6507777-Saturday,15:15:00,15:15:00,70012,1
6507777-Saturday,15:20:00,15:20:00,70022,2
6507777-Saturday,15:25:00,15:25:00,70032,3
6507777-Saturday,15:31:00,15:31:00,70042,4
6507777-Saturday,15:35:00,15:35:00,70052,5
