service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
131-Blocks-Sunday-50,0,0,0,0,0,0,1,20200216,20200614
131-Blocks-Weekday-51,1,1,1,1,1,0,0,20200217,20200619
131-Blocks-Weekday-51-SDon,1,1,1,1,1,0,0,20200217,20200619
131-Blocks-Weekday-51-SDoff,1,1,1,1,1,0,0,20200217,20200619
131-Blocks-Weekday-51-SDon-0010000,0,0,1,0,0,0,0,20200217,20200619
131-Blocks-Weekday-51-SDon-1101100,1,1,0,1,1,0,0,20200217,20200619
131-Blocks-Weekday-51-SDon-0001000,0,0,0,1,0,0,0,20200217,20200619
131-Blocks-Weekday-51-SDon-1110100,1,1,1,0,1,0,0,20200217,20200619
131-Blocks-Weekday-51-SDon-0011000,0,0,1,1,0,0,0,20200217,20200619
131-Blocks-Weekday-51-SDon-1100100,1,1,0,0,1,0,0,20200217,20200619
131-Blocks-Weekday-51-SDon-1011100,1,0,1,1,1,0,0,20200217,20200619
131-Blocks-Weekday-51-SDon-0100000,0,1,0,0,0,0,0,20200217,20200619
131-Blocks-Weekday-51-SDon-0101000,0,1,0,1,0,0,0,20200217,20200619
131-Blocks-Saturday-50,0,0,0,0,0,1,0,20200222,20200620
