trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_area_id,drop_off_area_id,pickup_service_area_radius,drop_off_service_area_radius
801,09:51:00,09:51:00,70261,1,San Francisco,0,0,0,1,,,,,1,1,,,,
801,10:01:00,10:01:00,70221,2,San Francisco,0,0,13189.5678810604,1,,,,,1,1,,,,
801,10:06:00,10:06:00,70211,3,San Francisco,0,0,17506.0827439644,1,,,,,1,1,,,,
801,10:13:00,10:13:00,70171,4,San Francisco,0,0,27101.4952317783,1,,,,,1,1,,,,
801,10:20:00,10:20:00,70141,5,San Francisco,0,0,34717.9828841594,1,,,,,1,1,,,,
801,10:27:00,10:27:00,70111,6,San Francisco,0,0,42887.6940888399,1,,,,,1,1,,,,
801,10:32:00,10:32:00,70091,7,San Francisco,0,0,47003.2515146559,1,,,,,1,1,,,,
801,10:40:00,10:40:00,70061,8,San Francisco,0,0,53653.6028272857,1,,,,,1,1,,,,
801,11:00:00,11:00:00,70011,9,San Francisco,0,0,75384.41144966,1,,,,,1,1,,,,
803,17:21:00,17:21:00,70261,1,San Francisco,0,0,0,1,,,,,1,1,,,,
803,17:31:00,17:31:00,70221,2,San Francisco,0,0,13189.5678810604,1,,,,,1,1,,,,
803,17:36:00,17:36:00,70211,3,San Francisco,0,0,17506.0827439644,1,,,,,1,1,,,,
803,17:43:00,17:43:00,70171,4,San Francisco,0,0,27101.4952317783,1,,,,,1,1,,,,
803,17:50:00,17:50:00,70141,5,San Francisco,0,0,34717.9828841594,1,,,,,1,1,,,,
803,17:57:00,17:57:00,70111,6,San Francisco,0,0,42887.6940888399,1,,,,,1,1,,,,
803,18:02:00,18:02:00,70091,7,San Francisco,0,0,47003.2515146559,1,,,,,1,1,,,,
803,18:10:00,18:10:00,70061,8,San Francisco,0,0,53653.6028272857,1,,,,,1,1,,,,
803,18:30:00,18:30:00,70011,9,San Francisco,0,0,75384.41144966,1,,,,,1,1,,,,
441,22:08:00,22:08:00,70261,1,San Francisco,0,0,0,1,,,,,1,1,,,,
441,22:13:00,22:13:00,70241,2,San Francisco,0,0,4121.0312279651,1,,,,,1,1,,,,
441,22:19:00,22:19:00,70231,3,San Francisco,0,0,10016.3784446975,1,,,,,1,1,,,,
441,22:23:00,22:23:00,70221,4,San Francisco,0,0,13203.4729348399,1,,,,,1,1,,,,
441,22:29:00,22:29:00,70211,5,San Francisco,0,0,17517.6746005032,1,,,,,1,1,,,,
441,22:33:00,22:33:00,70201,6,San Francisco,0,0,20625.8583537593,1,,,,,1,1,,,,
441,22:37:00,22:37:00,70191,7,San Francisco,0,0,24569.4408440563,1,,,,,1,1,,,,
441,22:42:00,22:42:00,70171,8,San Francisco,0,0,27117.3871635043,1,,,,,1,1,,,,
441,22:45:00,22:45:00,70161,9,San Francisco,0,0,29128.1469454012,1,,,,,1,1,,,,
441,22:49:00,22:49:00,70151,10,San Francisco,0,0,30879.3635371845,1,,,,,1,1,,,,
441,22:53:00,22:53:00,70141,11,San Francisco,0,0,34731.2126458671,1,,,,,1,1,,,,
441,22:58:00,22:58:00,70131,12,San Francisco,0,0,38225.4226275833,1,,,,,1,1,,,,
441,23:02:00,23:02:00,70121,13,San Francisco,0,0,40210.9430119817,1,,,,,1,1,,,,
441,23:05:00,23:05:00,70111,14,San Francisco,0,0,42904.3153565186,1,,,,,1,1,,,,
441,23:09:00,23:09:00,70101,15,San Francisco,0,0,44893.8879211699,1,,,,,1,1,,,,
441,23:12:00,23:12:00,70091,16,San Francisco,0,0,47027.4616466382,1,,,,,1,1,,,,
441,23:16:00,23:16:00,70081,17,San Francisco,0,0,49351.8785008143,1,,,,,1,1,,,,
441,23:20:00,23:20:00,70071,18,San Francisco,0,0,51124.7067046011,1,,,,,1,1,,,,
441,23:23:00,23:23:00,70061,19,San Francisco,0,0,53675.2522313035,1,,,,,1,1,,,,
441,23:28:00,23:28:00,70051,20,San Francisco,0,0,57827.7150244977,1,,,,,1,1,,,,
441,23:33:00,23:33:00,70041,21,San Francisco,0,0,60796.6915301737,1,,,,,1,1,,,,
441,23:39:00,23:39:00,70031,22,San Francisco,0,0,67471.8758991884,1,,,,,1,1,,,,
441,23:45:00,23:45:00,70021,23,San Francisco,0,0,72890.3395752972,1,,,,,1,1,,,,
441,23:52:00,23:52:00,70011,24,San Francisco,0,0,75413.4853754201,1,,,,,1,1,,,,
432,15:37:00,15:37:00,70012,1,San Jose Diridon,0,0,0,1,,,,,1,1,,,,
432,15:41:00,15:41:00,70022,2,San Jose Diridon,0,0,2521.94934933267,1,,,,,1,1,,,,
432,15:48:00,15:48:00,70032,3,San Jose Diridon,0,0,8397.84794910678,1,,,,,1,1,,,,
432,15:54:00,15:54:00,70042,4,San Jose Diridon,0,0,15088.0092277266,1,,,,,1,1,,,,
432,16:00:00,16:00:00,70052,5,San Jose Diridon,0,0,18052.8628122446,1,,,,,1,1,,,,
432,16:04:00,16:04:00,70062,6,San Jose Diridon,0,0,22207.6548813605,1,,,,,1,1,,,,
432,16:08:00,16:08:00,70072,7,San Jose Diridon,0,0,24756.826853644,1,,,,,1,1,,,,
432,16:11:00,16:11:00,70082,8,San Jose Diridon,0,0,26517.3454040895,1,,,,,1,1,,,,
432,16:15:00,16:15:00,70092,9,San Jose Diridon,0,0,28824.0211611804,1,,,,,1,1,,,,
432,16:18:00,16:18:00,70102,10,San Jose Diridon,0,0,30973.0132862351,1,,,,,1,1,,,,
432,16:22:00,16:22:00,70112,11,San Jose Diridon,0,0,32977.8777135427,1,,,,,1,1,,,,
432,16:26:00,16:26:00,70122,12,San Jose Diridon,0,0,35672.8824949724,1,,,,,1,1,,,,
432,16:29:00,16:29:00,70132,13,San Jose Diridon,0,0,37663.7600330364,1,,,,,1,1,,,,
432,16:34:00,16:34:00,70142,14,San Jose Diridon,0,0,41156.3781547117,1,,,,,1,1,,,,
432,16:39:00,16:39:00,70152,15,San Jose Diridon,0,0,45007.3291685496,1,,,,,1,1,,,,
