stop_id,stop_name
70011,San Francisco
70012,San Francisco
70021,22nd St
70022,22nd St
70031,Bayshore
70032,Bayshore
70051,San Bruno
70052,San Bruno
70061,Millbrae
70062,Millbrae
70071,Broadway
70072,Broadway
70081,Burlingame
70082,Burlingame
70091,San Mateo
70092,San Mateo
70101,Hayward Park
70102,Hayward Park
70111,Hillsdale
70112,Hillsdale
70121,Belmont
70122,Belmont
70131,San Carlos
70132,San Carlos
70141,Redwood City
70142,Redwood City
70151,Atherton
70152,Atherton
70161,Menlo Park
70162,Menlo Park
70171,Palo Alto
70172,Palo Alto
70191,California Ave
70192,California Ave
70201,San Antonio
70202,San Antonio
70211,Mt View
70212,Mt View
70221,Sunnyvale
70222,Sunnyvale
70231,Lawrence
70232,Lawrence
70241,Santa Clara
70242,Santa Clara
70251,College Park
70252,College Park
70261,San Jose Diridon
70262,San Jose Diridon
70271,Tamien
70272,Tamien
70281,Capitol
70282,Capitol
70291,Blossom Hill
70292,Blossom Hill
70301,Morgan Hill
70302,Morgan Hill
70311,San Martin
70312,San Martin
70321,Gilroy
70322,Gilroy
